type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,洪荒：悟性逆天，我以剑道证混元,http://img.faloo.com/Novel/498x705/1/1550/001550836.jpg,夏月白,//photo.faloo.com/default.jpg,1,350000,60,280830,8002,647824,31112,297286,5,688.0,21,0,9.8,2024-11-16,2024-12-07,https://b.faloo.com/1453217.html
玄幻奇幻,洪荒：重生彩云仙，稳健成圣,http://img.faloo.com/Novel/498x705/1/1540/001540589.jpg,眇志临云,http://photo.faloo.com/160x120/0/870/870030.jpg,1,1090000,265,259650,23320,2376321,501370,1092974,140,31000.0,63,0,9.7,2024-09-28,2024-12-07,https://b.faloo.com/1444963.html
玄幻奇幻,全民领主：我能无限叠加词条！,http://img.faloo.com/Novel/498x705/1/1544/001544563.jpg,世有锦瑟,http://photo.faloo.com/160x120/0/896/896941.jpg,1,540000,65,243134,77243,1594855,351094,540401,21,13000.0,64,0,9.9,2024-10-17,2024-12-07,https://b.faloo.com/1448107.html
玄幻奇幻,全民领主：从零开始打造不朽仙域,http://img.faloo.com/Novel/498x705/0/980/000980005.jpg,机械之主,http://photo.faloo.com/160x120/0/509/509793.jpg,3,11080000,1734,238276,72484,42429083,9107937,8308996,1403,798000.0,133,5,10,2021-06-07,2024-12-07,https://b.faloo.com/969757.html
玄幻奇幻,玄幻：我！天命大反派,http://img.faloo.com/Novel/498x705/0/406/000406326.jpg,天命反派,//photo.faloo.com/default.jpg,3,9120000,1987,200303,4243,83805462,8774571,6433852,6693,1894000.0,15,645,10,2020-03-28,2024-11-30,https://b.faloo.com/724903.html
玄幻奇幻,全球杀戮：开局觉醒sss级天赋,http://img.faloo.com/Novel/498x705/1/1553/001553186.jpg,秦家公子,//photo.faloo.com/default.jpg,3,21100000,2254,205432,22695,46849350,8091080,9518868,4790,1045000.0,32,16,10,2021-09-09,2024-12-07,https://b.faloo.com/1029709.html
玄幻奇幻,御兽：开局孵化古龙,http://img.faloo.com/Novel/498x705/1/1073/001073736.jpg,小扑扑猪,//photo.faloo.com/default.jpg,1,4100000,577,196659,40463,11090047,2089373,3752962,1023,92000.0,32,0,9.8,2023-11-18,2024-12-07,https://b.faloo.com/1372135.html
玄幻奇幻,万界：从零开始建立无上神权,http://img.faloo.com/Novel/498x705/1/1521/001521454.jpg,八云一家,http://photo.faloo.com/160x120/0/668/668379.jpg,5,8250000,1086,196131,10721,2277887,274875,936490,70,13000.0,36,0,9.7,2024-09-15,2024-12-07,https://b.faloo.com/1442782.html
玄幻奇幻,盘点至高世界，吞噬法震撼星神,http://img.faloo.com/Novel/498x705/1/1546/001546256.jpg,崔心掌,//photo.faloo.com/default.jpg,6,680000,160,193051,4403,1199585,13123,447120,2,100.0,6,0,9.8,2024-10-24,2024-12-07,https://b.faloo.com/1449239.html
玄幻奇幻,玄幻：一分努力，万倍暴击收获！,http://img.faloo.com/Novel/498x705/1/1367/001367137.jpg,姐姐的肉包,http://photo.faloo.com/160x120/0/311/311802.jpg,7,3370000,2013,193546,7661,5018973,2178077,933077,233,77000.0,42,2,9.9,2024-07-15,2024-12-07,https://b.faloo.com/1430156.html
玄幻奇幻,高武：人到三十，超能力刷新,http://img.faloo.com/Novel/498x705/1/1096/001096886.jpg,海落天蓝,//photo.faloo.com/default.jpg,5,2680000,884,185043,5113,10386488,2578102,1289994,163,28000.0,16,0,9.9,2024-02-07,2024-12-08,https://b.faloo.com/1392161.html
玄幻奇幻,洪荒：悟性逆天，我为三世佛尊,http://img.faloo.com/Novel/498x705/1/1543/001543287.jpg,回家躺平,//photo.faloo.com/default.jpg,2,1540000,176,177401,4488,1624268,40272,614812,9,3688.0,5,0,9.2,2024-10-12,2024-12-07,https://b.faloo.com/1447118.html
玄幻奇幻,洪荒：开局重瞳，拜师截教云霄！,http://img.faloo.com/Novel/498x705/1/1554/001554280.jpg,再来三十,//photo.faloo.com/default.jpg,5,6530000,218,189744,5081,7488976,520732,2249382,217,71000.0,11,1,9.6,2024-05-05,2024-12-07,https://b.faloo.com/1413094.html
玄幻奇幻,封神：我成云霄坐骑，跑路证道,http://img.faloo.com/Novel/498x705/1/1544/001544151.jpg,垂天云,//photo.faloo.com/default.jpg,6,7420000,1722,175618,4106,1457753,71223,453297,9,151000.0,8,0,9.9,2024-10-15,2024-12-07,https://b.faloo.com/1447638.html
玄幻奇幻,洪荒：我，火神罗宣，悟性逆天！,http://img.faloo.com/Novel/498x705/1/1551/001551336.jpg,奶绿瓶,//photo.faloo.com/default.jpg,2,430000,22,179454,1238,467900,17469,380539,1,80000.0,4,0,9.9,2024-11-18,2024-12-07,https://b.faloo.com/1453673.html
玄幻奇幻,洪荒：从开天之初加入聊天群,http://img.faloo.com/Novel/498x705/1/1539/001539827.jpg,同天齐,http://photo.faloo.com/160x120/0/508/508785.jpg,5,2090000,1587,174995,3939,1861594,51211,227195,11,688.0,8,0,9.9,2024-09-23,2024-12-07,https://b.faloo.com/1444169.html
